run_id,code_commit,method,config_path,seed,parent_checkpoints,steps,batch_size,context,processed_targets_including_ancestry,parameters,hardware,threads,train_precision,train_seconds,validation_seconds,test_seconds,peak_ram_gb,peak_gpu_allocated_gb,validation_bpb,test_bpb,checkpoint_sha256,selected_on,notes
student-drop015-16k-s17,,student recipe + dropout 0.15; 16000-step cosine (warmup 1600); EMA d=0.999,configs/student_drop015.json,17,none,16000,32,256,131072000,3050304,NVIDIA RTX 5080 (train bf16); Ryzen 7 9800X3D 4-thread (eval fp32),4,bf16,256.21,,,,1.04,1.516451 (EMA @16000 = best = final),,7b33aeebb683f881e5f13bf5a85db77919952db818a32b56bb5657871f943879,validation best snapshot,long-schedule probe: -0.0282 vs 8k (1.5447); monotone descent but tail flattening (deltas -0.0001..-0.0004/400 steps) -> near data ceiling; valley at schedule end again; raw final 1.527457 (EMA gain 0.0110 recovered on longer schedule); queued: drop020-16k then maybe drop015-24k / d8-drop015-16k
student-drop020-16k-s17,,student recipe + dropout 0.20; 16000-step cosine (warmup 1600); EMA d=0.999,configs/student_drop020.json,17,none,16000,32,256,131072000,3050304,NVIDIA RTX 5080 (train bf16); Ryzen 7 9800X3D 4-thread (eval fp32),4,bf16,257.00,,,,1.04,1.515641 (EMA @16000 = best = final),,4e80236dd1c9873a2848876861cd15bbe8a1ab9b94735d5949d3b08ed2d8645e,validation best snapshot,DOSE AXIS CLOSED: 0.20 vs 0.15 delta 0.0009 = statistical tie; drop015 led mid-run (@8000: 1.5435 vs 1.5515) -> keep dropout 0.15; dose-response for report: 0/.05/.10/.15/.20 = 1.5918*/1.5559/1.5455/1.5447/1.5156 (*8k schedule); raw 1.525878; next: drop015-24k ceiling probe + d8-drop015 combo
student-drop015-24k-s17,,student recipe + dropout 0.15; 24000-step cosine (warmup 2400); EMA d=0.999,configs/student_drop015.json,17,none,24000,32,256,196608000,3050304,NVIDIA RTX 5080 (train bf16); Ryzen 7 9800X3D 4-thread (eval fp32),4,bf16,413.20,,,,1.04,1.499414 (EMA @23200 = best_checkpoint.pt; final 1.499575),,1ed8e3f797b1e2ea4cf2f548cb6bf9a72b6d8f9c457cfeb5989316f61b179ec1,validation best snapshot,CEILING PROBE SUCCESS: -0.0171 vs 16k (tail extrapolation predicted only -0.002..-0.004; longer cosine reallocates lr globally - schedule length is NOT locally extrapolable); curve flat 20000-24000 (~1.500) valley INSIDE @23200 + tiny end uptick = true converged bottom; data ceiling for d6+drop015 ~= 1.50; raw 1.512574 (EMA gain 0.013); SCHEDULE AXIS CLOSED at 24k; next: d8-drop015-16k controlled combo probe
student-d8drop015-16k-s17,,depth-8 student (3.94M params) + dropout 0.15; 16000-step cosine; EMA d=0.999,configs/student_d8_drop015.json,17,none,16000,32,256,131072000,3935936,NVIDIA RTX 5080 (train bf16); Ryzen 7 9800X3D 4-thread (eval fp32),4,bf16,329.40,,,,1.33,1.506442 (EMA @14800 = best_checkpoint.pt),,a5146ba325d6032b2f31e40ddcc3539a1d668f8b5dba0f6a330412ebc5576230,validation best snapshot,COMBO WIN: -0.0101 vs d6-drop015@16k (1.5165); DROPOUT UNLOCKED DEPTH (d8-no-drop valley was early @4600 = fast memorization; with drop015 valley inside schedule @14800 = true convergence); interaction effect for report; raw 1.518695 (EMA gain 0.012); est. CPU test ~15.7s < 22.8s budget; next: d8-drop015@24k final recipe candidate
student-d8drop015-24k-s17,,FROZEN FINAL RECIPE: depth-8 + dropout 0.15 + 24000-step cosine (warmup 2400) + EMA d=0.999 + lr 3e-3 AdamW(0.9/0.95) wd 0.1 on 2D only + bf16,configs/student_d8_drop015.json,17,none,24000,32,256,196608000,3935936,NVIDIA RTX 5080 (train bf16); Ryzen 7 9800X3D 4-thread (eval fp32),4,bf16,544.50,,,,1.33,1.493970 (EMA @18800 = best_checkpoint.pt; final 1.496391),,11596115f39b146427e2ea7a49e347ccbeb2e7f6740aab2e304e8645b5468f19,validation best snapshot; FROZEN as final predictor pending CPU budget verify,BEATS d6@24k (1.499414) by 0.0054 -> depth-8 retained; valley INSIDE schedule @18800 + mild end uptick (memorization tail) -> best-snapshot selection essential; raw 1.511116 (EMA gain 0.0171); search cost to date: ~14 formal GPU runs / ~48 min; next: CPU timing verify + 3 ablations (noRoPE/GELU/noQK) on frozen base; CPU verify PASSED (val 13.39s -> est test ~15.2s < 22.8s; CPU bpb 1.49396997 == GPU to 7 decimals)
abl-norope-s17,,ABLATION 1/3: frozen recipe with use_rope=false (learned absolute pos table instead; +49152 params),configs/abl_norope.json,17,none,24000,32,256,196608000,3985088,NVIDIA RTX 5080 (train bf16); Ryzen 7 9800X3D 4-thread (eval fp32),4,bf16,432.00,,,,1.33,1.505659 (EMA @23200 = best_checkpoint.pt),,c7868edee59c8442a073172e3117eec4715b385c7a7d3e58e3a013acc89e7c6a,paired ablation vs frozen recipe (1.493970),RoPE worth 0.0117 BPB; frozen curve above at EVERY sample point; cost side: RoPE adds 26% train time (544s vs 432s; per-layer elementwise rotations on q/k) -> quality/cost tradeoff for report; raw 1.520426
abl-gelu-s17,,ABLATION 2/3 -> UPSET: frozen recipe with mlp=gelu (param-matched 2x768 vs 3x512 per block),configs/abl_gelu.json,17,none,24000,32,256,196608000,3935936,NVIDIA RTX 5080 (train bf16); Ryzen 7 9800X3D 4-thread (eval fp32),4,bf16,505.50,,,,1.33,1.481952 (EMA @20400 = best_checkpoint.pt),,b853c90bc870b79fe06aaed1bb1bd919f39ad9fd62f546d2685399271a587e4b,paired ablation vs frozen recipe (1.493970),GELU BEATS SwiGLU by 0.0120 BPB at equal params; lower at every sampled step; 4-10x noise floor -> real; SwiGLU advantage is scale-dependent in literature and does NOT hold at 3.9M params with heavy dropout; DECISION: switch frozen base to GELU variant (val-selected; test untouched); re-pair noRoPE/noQK ablations on GELU base + probe gelu-d6; raw 1.498944 (EMA gain 0.017)
abl-noqk-s17,,ABLATION 3/3 (SwiGLU base): frozen recipe with use_qk_norm=false,configs/abl_noqk.json,17,none,24000,32,256,196608000,3935936,NVIDIA RTX 5080 (train bf16); Ryzen 7 9800X3D 4-thread (eval fp32),4,bf16,376.10,,,,1.33,1.503708 (EMA @23600 = best_checkpoint.pt),,02cc5f9081b244d9d4397e549bc79ff725514c5e70c223713182052809054b8c,paired ablation vs swiglu frozen recipe (1.493970),QK-Norm worth 0.0097 BPB; NO instability without it (warmup+clip+dropout sufficed at lr 3e-3) -> its value is steady quality not crash-prevention here; COST FINDING: QK-Norm = +45% train time (544s vs 376s; per-head fp32 RMSNorm on q/k x8 layers is expensive under bf16 autocast); raw 1.518173; supplementary datapoint - final ablations re-paired on GELU base
student-d6gelu-24k-s17,,depth probe on GELU base: d6 + gelu(768) + dropout 0.15 + 24k cosine + EMA 0.999,configs/student_d6_gelu.json,17,none,24000,32,256,196608000,3050304,NVIDIA RTX 5080 (train bf16); Ryzen 7 9800X3D 4-thread (eval fp32),4,bf16,363.30,,,,1.04,1.492148 (EMA @23600 = best_checkpoint.pt),,9e9eddb88faa642c442756b97e90797f104acd94829b74569f0ae8bfab9e82b6,validation best snapshot; depth probe,DEPTH CONFIRMED on GELU base: d8 wins by 0.0101 (vs 0.0054 margin on SwiGLU base - depth dividend GREW with GELU; single-seed observation for report discussion); FINAL FROZEN RECIPE = d8+gelu768+drop015+24k+EMA0.999; frozen predictor = abl-gelu-s17/best_checkpoint.pt (val 1.481952 sha b853c90b...); raw 1.505822; next: re-pair noRoPE/noQK on GELU base then single test eval
abl-gelu-norope-s17,,RE-PAIRED ABLATION (GELU base): frozen GELU recipe with use_rope=false (learned pos table; +49152 params),configs/abl_gelu_norope.json,17,none,24000,32,256,196608000,3985088,NVIDIA RTX 5080 (train bf16); Ryzen 7 9800X3D 4-thread (eval fp32),4,bf16,401.20,,,,1.33,1.486995 (EMA @23200 = best_checkpoint.pt),,95f233f42ae643322ad1dce471f611d39207ebcf5f1c22160bc9233133d2269c,paired ablation vs GELU frozen recipe (1.481952),RoPE worth only 0.0050 BPB on GELU base (vs 0.0117 on SwiGLU base) - mechanism contributions are base-dependent; margin near noise floor (0.001-0.003) single seed; RoPE keeps -49k params but +26% train time; EMA gain base-INsensitive: GELU raw 1.498944 vs EMA 1.481952 = 0.0169 ~= SwiGLU base 0.0171 (training-dynamics mechanism does not interact with architecture); raw 1.503447
abl-gelu-noqk-s17,,RE-PAIRED ABLATION (GELU base): frozen GELU recipe with use_qk_norm=false,configs/abl_gelu_noqk.json,17,none,24000,32,256,196608000,3935936,NVIDIA RTX 5080 (train bf16); Ryzen 7 9800X3D 4-thread (eval fp32),4,bf16,349.00,,,,1.33,1.492693 (EMA @20000 = best_checkpoint.pt),,555103e54cb08b89d3ddb41173c92ca2a523d5c51f9fc8d1016b12e937fccc74,paired ablation vs GELU frozen recipe (1.481952),QK-Norm worth 0.0107 on GELU base ~= 0.0097 on SwiGLU base -> STABLE across bases (contrast RoPE which halved); no instability without it; cost +45% train time (505.5s vs 349.0s fp32 per-head norms under bf16 autocast); ABLATION MATRIX COMPLETE (EMA 0.0169 / QKNorm 0.0107 / RoPE 0.0050 / dropout ~0.047 cross-base / SwiGLU->GELU -0.0120); raw 1.508729; next: docstring freeze + final run + single test eval
